,text,label
0,Being s mom is cleaning 24/7 the same shit over and over with the end result with everything being a mess again. momlife kids tired,1
1,And now we have been given the walkthru book by and to base our whole school PD on!! grinning face instructionalcoaching excited,0
2,Wishing YOU Peace Joy & Love! JoyTrain MentalHealth Quote Mindfulness GoldenHearts IAM ChooseLove IAmChoosingLove TuesdayMorning TuesdayThoughts TuesdayMotivation RT ,0
3, speak-no-evil monkey Can I Be Honest With You? globe showing Europe-Africa telephone 03453192666 e-mail clinic.co.uk therapy help NLP CBT hypnotherapy mentalhealth Hertfordshire anxiety stress depression confidence counselling,1
4,"Psy Do u hv any regrets? Me No Psy Are you happy now? Me Yes. I feel relieved. . . Goodbye, Dr Abzarul. Thank you for your services. May God bless and ease your steps. exitKKM MentalHealthMatters ",0
5, police car light New Product Alert! police car light Silicone Suction Snapper Use code SOCIAL10 for 10% off! right arrow Sensory SPD Stim Autism ADHD Anxiety Stress MentalHealth HappyHandsToys,0
6,"Ordered my 2nd Ribble 20 years after the 1st one, on 18th Aug. Expected dispatch March 2022. 10 days later it was 10th Dec. Now it's been dispatched Excited",0
7,"Starting the day with a cleanse. Hot water with cumin, fennel, and coriander seeds. Great for a detox both for the tummy and the mind. detoxthemind MentalHealthMatters morningtea naturalremedies digestion totd day69 justmanuka startyourday",1
8,Welcoming September fallen leaf leaf fluttering in wind maple leaf four leaf clover our Cheerful Cup with some cheerfulness of . Can you guess which rum we are using? smiling face Photo credit by - SweetAndSpecial SimplyDeliciousSimplySweet foodpics yummy cheerful september - •FOLLOW US• Barbados ,0
9,SamsungGalaxy zflip3 5G 128Go Here on Amazon phone iphone GalaxyZFold3 WiFi Covid 19 Taliban USA America lifestyle lifebythesea happy NewYork friends beauty Health healthy healthcareworkers love Nice 5G EndSARS lockdown ,0
10,i literally just pissed shit out of my ass goodmorning feelingblessed,1
11,Like I'm not THAT energetic in the morning to be there a whole hour early. But what the hell am I supposed to do? Twiddle my thumbs? waiting bored tired interview,0
12,"Take your time if you have recently had a loss. The world will always be going by quickly, take time for you to recover. . . mentalhealthmatters youmatter restandrecover ",1
13,Frau Goebbels early signs of psychosis psychotic mentalhealth JacindaPcychotic ,1
14,"A lot of work and unfulfilled tasks plunge you into extreme stress and provoke nervous tension. As a result, you overeat, trying to eat your problems. Because of overeating and stress, you can not sleep, and a full rest starts this chain in a new circle. ",1
15,Simple things make me happy smiling face with smiling eyes happy simplicity ,0
16,Excuse the bathroom selfie but just HIT MY NEW PB! Completed 5K on the cross trainer in 29min 25secs! Shaving off that extra 35seconds really means a lot; it gets me inches closer to my AcademicMentalHealth charity half marathon! charity MentalHealthMatters phdchat ,0
17,"If you're thankful for what you have, you'll end up having more. If you concentrate on what you don't have, you will never have enough. hiphop rap freestyle soundcloud spotify twitter music newmusic success motivational motivation happy viral ",0
18,What Makes Urine Smell Strong or Foul? tagfire lifestyle healthcare health life LOL healthy Yoga food diet love fitness RT swag stress anxiety happiness nutrition funny hot cool lol smile,0
19,"Private health insurance delivers value for young people - particularly during the pandemic, when mental health care is paramount. privatehealth mentalhealth ",1
20,"XpertOnline offers you the convenience of viewing your patient’s medical report and treatment history, while consulting them online. . . . Personalised medicine telemedicine healthcare mentalhealth healthylifestyle doctors wellness dermatology ",1
21,The September issue is out! Explore our Editor’s Picks - Association between childhood AtopicDermatitis and future education - Itch in scabies - A new botulinum toxin (HU-045) - MentalHealth and treatment response of anogenital warts ,1
22,"Your mental health impacts every part of your life. When you improve your brain, you improve your life. 5 Ways To Improve Your Mental Health mentalhealth health mind depression anxiety sleep brain stress mondaythoughts MentalHealthAwareness ",1
23,Women’s Classic Vintage Sunglasses amazing happy ,0
24,"I Can Think, I Can Wait, I Can Fast - Three Skills For a Free And Happy Life | Motivation - via i can think i can wait i can fast three skills for a free and happy life ",0
25,More great coverage from and is a fantastic resource! parenting MentalHealthMatters ,0
26,TickTalkTo is a MentalHealth care Startup. We wish be our mentor. beaming face with smiling eyes ,0
27,Eeeek!! Uncles Andy & Chris are here to do the decorating! partying face partying face Excited ,0
28,"Presenting a short guided meditation by that will reduce your stress and anxiety levels, and help you relax & experience inner peace Listen to our podcast stress anxiety mentalhealth meditation selflove ",0
29,Could I get another excited into that tweet? Almost certainly yes. I'm that excited. excited,0
30,Research suggests that human-animal interaction may benefit the mentalhealth of people of all ages. Here's how we're supporting studies to find out how interacting with therapydogs may help ease loneliness and social isolation especially in older adults ,0
31,"Forgiveness is a process -- we often need to keep forgiving for the same hurt, sometimes on a daily basis. mentalhealth",1
32,"dont u hate it when ur trying to be very emotional and emotic but ur eyes just aint doing the thing and u just feel annoyed instead cuz it's not dramatic enough. like the actions, facial expressions, the mouth, voice, all there, but u just know ur eyes are deadpan asf. tired",1
33,Stressed out? Read on the healthy ways to cope with Stress and a lot more trusted health information. Free health information for all. FreeHealthRevolution Please share with your friends.. Retweet domains Freddie Mercury Mets' Zack Scott A…,0
34,Just had some awesome news We get to play some of our new songs in a pub in front of people on 1st October and 5th November Excited WeHaveSomeSeriousWorkToDo RiotOfTheBlackLlama ROTBL Originals,0
35,Stressed out? Read on the healthy ways to cope with Stress and a lot more trusted health information. Free health information for all. FreeHealthRevolution Please share with your friends.. Retweet domains Freddie Mercury Guest Columnist Da…,1
36,"Mental health is hard, but memes can make it easier blue heart Join us on Discord ... mentalhealth health anxiety depression covid mentalhealthmatters love mentalhealthawareness support selfcare wellbeing mindfulness mentalillness recovery discord ",1
37,SimonJWoodUK I don’t produce vodka mate but I’d love it if you could RT my video & get the northwest talking. This video could be the reason someone struggling silently reaches out & be the glimmer of hope they need to keep going danielsjourney MentalHealthMatters ,1
38,Grad school is a unique and exciting time. We hope our stories can help illustrate paths through grad school and maybe you’ll get a few laughs out of our own fun stories. Check it out! gradschool mentalhealth phdlife scicomm chemtwitter,0
